Titel                                                           06.08.2018 07:17
________________________________________________________________________________

Titel
Auswertungs-Kategorien:

Kurvenname:
  TMA CTE M21E Platten SA11 D, 03.08.2018 15:15:45
  Durchgeführt am03.08.2018 15:15:45
Kurvenwerte:
       Index           t          Ts          Tr        Wert
                           [s]           [°C]           [°C]           [µm]
              0              0         19,243         20,000        5540,95
              1              1         19,300         20,050        5540,95
              2              2         19,358         20,100        5540,95
              3              3         19,418         20,150        5540,95
              4              4         19,475         20,200        5540,95
              5              5         19,531         20,250        5540,95
              6              6         19,589         20,300        5540,95
              7              7         19,647         20,350        5540,95
              8              8         19,703         20,400        5540,95
              9              9         19,757         20,450        5540,96
             10             10         19,808         20,500        5540,96
             11             11         19,860         20,550        5540,96
             12             12         19,909         20,600        5540,96
             13             13         19,961         20,650        5540,96
             14             14         20,011         20,700        5540,97
             15             15         20,063         20,750        5540,97
             16             16         20,111         20,800        5540,97
             17             17         20,159         20,850        5540,97
             18             18         20,204         20,900        5540,98
             19             19         20,245         20,950        5540,98
             20             20         20,291         21,000        5540,98
             21             21         20,335         21,050        5540,99
             22             22         20,375         21,100        5540,99
             23             23         20,422         21,150        5540,99
             24             24         20,463         21,200           5541
             25             25         20,502         21,250           5541
             26             26         20,550         21,300        5541,01
             27             27         20,599         21,350        5541,01
             28             28         20,647         21,400        5541,02
             29             29         20,688         21,450        5541,02
             30             30         20,733         21,500        5541,02
             31             31         20,778         21,550        5541,03
             32             32         20,821         21,600        5541,03
             33             33         20,867         21,650        5541,04
             34             34         20,907         21,700        5541,04
             35             35         20,953         21,750        5541,05
             36             36         20,997         21,800        5541,05
             37             37         21,039         21,850        5541,06
             38             38         21,089         21,900        5541,06
             39             39         21,132         21,950        5541,07
             40             40         21,176         22,000        5541,07
             41             41         21,224         22,050        5541,08
             42             42         21,266         22,100        5541,08
             43             43         21,309         22,150        5541,09
             44             44         21,351         22,200        5541,09
             45             45         21,397         22,250         5541,1
             46             46         21,441         22,300         5541,1
             47             47         21,487         22,350        5541,11
             48             48         21,531         22,400        5541,12
             49             49         21,580         22,450        5541,12
             50             50         21,630         22,500        5541,13
             51             51         21,675         22,550        5541,13
             52             52         21,723         22,600        5541,14
             53             53         21,766         22,650        5541,14
             54             54         21,809         22,700        5541,15
             55             55         21,851         22,750        5541,15
             56             56         21,891         22,800        5541,16
             57             57         21,933         22,850        5541,17
             58             58         21,981         22,900        5541,17
             59             59         22,032         22,950        5541,18
             60             60         22,082         23,000        5541,18
             61             61         22,128         23,050        5541,19
             62             62         22,170         23,100         5541,2
             63             63         22,213         23,150         5541,2
             64             64         22,256         23,200        5541,21
             65             65         22,303         23,250        5541,21
             66             66         22,348         23,300        5541,22
             67             67         22,393         23,350        5541,23
             68             68         22,437         23,400        5541,23
             69             69         22,474         23,450        5541,24
             70             70         22,522         23,500        5541,24
             71             71         22,568         23,550        5541,25
             72             72         22,613         23,600        5541,26
             73             73         22,657         23,650        5541,26
             74             74         22,703         23,700        5541,27
             75             75         22,756         23,750        5541,27
             76             76         22,801         23,800        5541,28
             77             77         22,843         23,850        5541,29
             78             78         22,887         23,900        5541,29
             79             79         22,929         23,950         5541,3
             80             80         22,975         24,000         5541,3
             81             81         23,018         24,050        5541,31
             82             82         23,060         24,100        5541,32
             83             83         23,104         24,150        5541,32
             84             84         23,154         24,200        5541,33
             85             85         23,198         24,250        5541,34
             86             86         23,246         24,300        5541,34
             87             87         23,294         24,350        5541,35
             88             88         23,344         24,400        5541,35
             89             89         23,388         24,450        5541,36
             90             90         23,436         24,500        5541,37
             91             91         23,485         24,550        5541,37
             92             92         23,533         24,600        5541,38
             93             93         23,584         24,650        5541,38
             94             94         23,629         24,700        5541,39
             95             95         23,678         24,750         5541,4
             96             96         23,721         24,800         5541,4
             97             97         23,768         24,850        5541,41
             98             98         23,817         24,900        5541,42
             99             99         23,861         24,950        5541,42
            100            100         23,907         25,000        5541,43
            101            101         23,952         25,050        5541,44
            102            102         23,987         25,100        5541,44
            103            103         24,036         25,150        5541,45
            104            104         24,084         25,200        5541,46
            105            105         24,130         25,250        5541,47
            106            106         24,174         25,300        5541,47
            107            107         24,221         25,350        5541,48
            108            108         24,272         25,400        5541,49
            109            109         24,316         25,450         5541,5
            110            110         24,361         25,500         5541,5
            111            111         24,411         25,550        5541,51
            112            112         24,458         25,600        5541,52
            113            113         24,505         25,650        5541,53
            114            114         24,553         25,700        5541,54
            115            115         24,599         25,750        5541,54
            116            116         24,649         25,800        5541,55
            117            117         24,702         25,850        5541,56
            118            118         24,750         25,900        5541,56
            119            119         24,801         25,950        5541,57
            120            120         24,858         26,000        5541,58
            121            121         24,904         26,050        5541,59
            122            122         24,952         26,100        5541,59
            123            123         25,004         26,150         5541,6
            124            124         25,061         26,200        5541,61
            125            125         25,107         26,250        5541,62
            126            126         25,160         26,300        5541,63
            127            127         25,214         26,350        5541,63
            128            128         25,262         26,400        5541,64
            129            129         25,313         26,450        5541,65
            130            130         25,359         26,500        5541,66
            131            131         25,406         26,550        5541,67
            132            132         25,458         26,600        5541,67
            133            133         25,503         26,650        5541,68
            134            134         25,553         26,700        5541,69
            135            135         25,595         26,750         5541,7
            136            136         25,640         26,800        5541,71
            137            137         25,685         26,850        5541,72
            138            138         25,731         26,900        5541,72
            139            139         25,774         26,950        5541,73
            140            140         25,815         27,000        5541,74
            141            141         25,860         27,050        5541,75
            142            142         25,906         27,100        5541,76
            143            143         25,957         27,150        5541,76
            144            144         26,000         27,200        5541,77
            145            145         26,040         27,250        5541,78
            146            146         26,085         27,300        5541,79
            147            147         26,135         27,350         5541,8
            148            148         26,175         27,400         5541,8
            149            149         26,220         27,450        5541,81
            150            150         26,271         27,500        5541,82
            151            151         26,316         27,550        5541,83
            152            152         26,362         27,600        5541,84
            153            153         26,409         27,650        5541,84
            154            154         26,453         27,700        5541,85
            155            155         26,495         27,750        5541,86
            156            156         26,542         27,800        5541,87
            157            157         26,586         27,850        5541,88
            158            158         26,635         27,900        5541,89
            159            159         26,674         27,950        5541,89
            160            160         26,727         28,000         5541,9
            161            161         26,776         28,050        5541,91
            162            162         26,814         28,100        5541,92
            163            163         26,860         28,150        5541,93
            164            164         26,906         28,200        5541,94
            165            165         26,951         28,250        5541,95
            166            166         26,989         28,300        5541,96
            167            167         27,034         28,350        5541,96
            168            168         27,083         28,400        5541,97
            169            169         27,128         28,450        5541,98
            170            170         27,174         28,500        5541,99
            171            171         27,216         28,550           5542
            172            172         27,262         28,600        5542,01
            173            173         27,307         28,650        5542,01
            174            174         27,357         28,700        5542,02
            175            175         27,404         28,750        5542,03
            176            176         27,454         28,800        5542,04
            177            177         27,497         28,850        5542,05
            178            178         27,545         28,900        5542,05
            179            179         27,592         28,950        5542,06
            180            180         27,639         29,000        5542,07
            181            181         27,687         29,050        5542,08
            182            182         27,732         29,100        5542,08
            183            183         27,784         29,150        5542,09
            184            184         27,831         29,200         5542,1
            185            185         27,880         29,250        5542,11
            186            186         27,927         29,300        5542,11
            187            187         27,975         29,350        5542,12
            188            188         28,021         29,400        5542,13
            189            189         28,068         29,450        5542,14
            190            190         28,118         29,500        5542,15
            191            191         28,163         29,550        5542,15
            192            192         28,207         29,600        5542,16
            193            193         28,252         29,650        5542,17
            194            194         28,298         29,700        5542,18
            195            195         28,344         29,750        5542,19
            196            196         28,387         29,800         5542,2
            197            197         28,432         29,850         5542,2
            198            198         28,480         29,900        5542,21
            199            199         28,523         29,950        5542,22
            200            200         28,576         30,000        5542,23
            201            201         28,620         30,050        5542,24
            202            202         28,667         30,100        5542,25
            203            203         28,709         30,150        5542,25
            204            204         28,757         30,200        5542,26
            205            205         28,808         30,250        5542,27
            206            206         28,850         30,300        5542,28
            207            207         28,892         30,350        5542,29
            208            208         28,944         30,400         5542,3
            209            209         28,987         30,450        5542,31
            210            210         29,035         30,500        5542,32
            211            211         29,078         30,550        5542,32
            212            212         29,128         30,600        5542,33
            213            213         29,168         30,650        5542,34
            214            214         29,215         30,700        5542,35
            215            215         29,269         30,750        5542,36
            216            216         29,314         30,800        5542,37
            217            217         29,361         30,850        5542,38
            218            218         29,409         30,900        5542,39
            219            219         29,461         30,950        5542,39
            220            220         29,509         31,000         5542,4
            221            221         29,557         31,050        5542,41
            222            222         29,604         31,100        5542,42
            223            223         29,648         31,150        5542,43
            224            224         29,695         31,200        5542,44
            225            225         29,742         31,250        5542,45
            226            226         29,788         31,300        5542,46
            227            227         29,836         31,350        5542,46
            228            228         29,881         31,400        5542,47
            229            229         29,927         31,450        5542,48
            230            230         29,975         31,500        5542,49
            231            231         30,024         31,550         5542,5
            232            232         30,074         31,600        5542,51
            233            233         30,120         31,650        5542,52
            234            234         30,168         31,700        5542,53
            235            235         30,218         31,750        5542,54
            236            236         30,265         31,800        5542,55
            237            237         30,315         31,850        5542,56
            238            238         30,363         31,900        5542,57
            239            239         30,412         31,950        5542,57
            240            240         30,461         32,000        5542,58
            241            241         30,507         32,050        5542,59
            242            242         30,557         32,100         5542,6
            243            243         30,607         32,150        5542,61
            244            244         30,649         32,200        5542,62
            245            245         30,699         32,250        5542,63
            246            246         30,752         32,300        5542,64
            247            247         30,793         32,350        5542,65
            248            248         30,841         32,400        5542,66
            249            249         30,892         32,450        5542,67
            250            250         30,942         32,500        5542,68
            251            251         30,992         32,550        5542,69
            252            252         31,043         32,600         5542,7
            253            253         31,091         32,650        5542,71
            254            254         31,137         32,700        5542,72
            255            255         31,186         32,750        5542,73
            256            256         31,237         32,800        5542,74
            257            257         31,284         32,850        5542,75
            258            258         31,336         32,900        5542,76
            259            259         31,389         32,950        5542,77
            260            260         31,442         33,000        5542,78
            261            261         31,492         33,050        5542,79
            262            262         31,537         33,100         5542,8
            263            263         31,592         33,150        5542,81
            264            264         31,640         33,200        5542,82
            265            265         31,691         33,250        5542,83
            266            266         31,736         33,300        5542,83
            267            267         31,791         33,350        5542,84
            268            268         31,844         33,400        5542,85
            269            269         31,892         33,450        5542,86
            270            270         31,936         33,500        5542,87
            271            271         31,987         33,550        5542,88
            272            272         32,038         33,600        5542,89
            273            273         32,085         33,650         5542,9
            274            274         32,139         33,700        5542,91
            275            275         32,187         33,750        5542,92
            276            276         32,243         33,800        5542,93
            277            277         32,289         33,850        5542,94
            278            278         32,337         33,900        5542,95
            279            279         32,387         33,950        5542,96
            280            280         32,434         34,000        5542,96
            281            281         32,486         34,050        5542,97
            282            282         32,537         34,100        5542,98
            283            283         32,586         34,150        5542,99
            284            284         32,635         34,200           5543
            285            285         32,680         34,250        5543,01
            286            286         32,731         34,300        5543,02
            287            287         32,781         34,350        5543,03
            288            288         32,828         34,400        5543,04
            289            289         32,877         34,450        5543,05
            290            290         32,926         34,500        5543,06
            291            291         32,976         34,550        5543,06
            292            292         33,022         34,600        5543,07
            293            293         33,069         34,650        5543,08
            294            294         33,119         34,700        5543,09
            295            295         33,172         34,750        5543,09
            296            296         33,218         34,800         5543,1
            297            297         33,274         34,850        5543,11
            298            298         33,320         34,900        5543,12
            299            299         33,371         34,950        5543,12
            300            300         33,423         35,000        5543,13
            301            301         33,466         35,050        5543,14
            302            302         33,517         35,100        5543,14
            303            303         33,564         35,150        5543,15
            304            304         33,612         35,200        5543,15
            305            305         33,663         35,250        5543,16
            306            306         33,708         35,300        5543,17
            307            307         33,753         35,350        5543,17
            308            308         33,801         35,400        5543,18
            309            309         33,849         35,450        5543,19
            310            310         33,897         35,500         5543,2
            311            311         33,944         35,550         5543,2
            312            312         33,988         35,600        5543,21
            313            313         34,033         35,650        5543,22
            314            314         34,079         35,700        5543,22
            315            315         34,129         35,750        5543,23
            316            316         34,173         35,800        5543,24
            317            317         34,217         35,850        5543,24
            318            318         34,266         35,900        5543,25
            319            319         34,311         35,950        5543,26
            320            320         34,353         36,000        5543,27
            321            321         34,399         36,050        5543,27
            322            322         34,445         36,100        5543,28
            323            323         34,490         36,150        5543,29
            324            324         34,537         36,200         5543,3
            325            325         34,582         36,250        5543,31
            326            326         34,618         36,300        5543,32
            327            327         34,664         36,350        5543,32
            328            328         34,709         36,400        5543,33
            329            329         34,754         36,450        5543,34
            330            330         34,796         36,500        5543,35
            331            331         34,839         36,550        5543,36
            332            332         34,881         36,600        5543,37
            333            333         34,923         36,650        5543,38
            334            334         34,970         36,700        5543,38
            335            335         35,015         36,750        5543,39
            336            336         35,062         36,800         5543,4
            337            337         35,105         36,850        5543,41
            338            338         35,148         36,900        5543,42
            339            339         35,191         36,950        5543,43
            340            340         35,238         37,000        5543,44
            341            341         35,281         37,050        5543,44
            342            342         35,328         37,100        5543,45
            343            343         35,372         37,150        5543,46
            344            344         35,420         37,200        5543,47
            345            345         35,462         37,250        5543,48
            346            346         35,508         37,300        5543,48
            347            347         35,554         37,350        5543,49
            348            348         35,596         37,400         5543,5
            349            349         35,636         37,450        5543,51
            350            350         35,680         37,500        5543,52
            351            351         35,726         37,550        5543,53
            352            352         35,771         37,600        5543,53
            353            353         35,812         37,650        5543,54
            354            354         35,859         37,700        5543,55
            355            355         35,904         37,750        5543,56
            356            356         35,946         37,800        5543,57
            357            357         35,988         37,850        5543,58
            358            358         36,030         37,900        5543,59
            359            359         36,076         37,950        5543,59
            360            360         36,123         38,000         5543,6
            361            361         36,166         38,050        5543,61
            362            362         36,212         38,100        5543,62
            363            363         36,256         38,150        5543,63
            364            364         36,303         38,200        5543,63
            365            365         36,345         38,250        5543,64
            366            366         36,385         38,300        5543,65
            367            367         36,433         38,350        5543,66
            368            368         36,478         38,400        5543,67
            369            369         36,523         38,450        5543,68
            370            370         36,566         38,500        5543,69
            371            371         36,610         38,550         5543,7
            372            372         36,656         38,600         5543,7
            373            373         36,704         38,650        5543,71
            374            374         36,744         38,700        5543,72
            375            375         36,787         38,750        5543,73
            376            376         36,834         38,800        5543,74
            377            377         36,879         38,850        5543,75
            378            378         36,920         38,900        5543,76
            379            379         36,968         38,950        5543,77
            380            380         37,015         39,000        5543,78
            381            381         37,056         39,050        5543,79
            382            382         37,099         39,100         5543,8
            383            383         37,146         39,150        5543,81
            384            384         37,193         39,200        5543,82
            385            385         37,238         39,250        5543,82
            386            386         37,282         39,300        5543,83
            387            387         37,324         39,350        5543,84
            388            388         37,370         39,400        5543,85
